experimentId
2013.07.10 17:58:22
FrameId	Timestamp	HeadX	HeadY	HeadZ	ShoulderCenterX	ShoulderCenterY	ShoulderCenterZ	SpineX	SpineY	SpineZ	HipCenterX	HipCenterY	HipCenterZ	ShoulderLeftX	ShoulderLeftY	ShoulderLeftZ	ElbowLeftX	ElbowLeftY	ElbowLeftZ	WristLeftX	WristLeftY	WristLeftZ	HandLeftX	HandLeftY	HandLeftZ	ShoulderRightX	ShoulderRightY	ShoulderRightZ	ElbowRightX	ElbowRightY	ElbowRightZ	WristRightX	WristRightY	WristRightZ	HandRightX	HandRightY	HandRightZ	HipLeftX	HipLeftY	HipLeftZ	KneeLeftX	KneeLeftY	KneeLeftZ	AnkleLeftX	AnkleLeftY	AnkleLeftZ	FootLeftX	FootLeftY	FootLeftZ	HipRightX	HipRightY	HipRightZ	KneeRightX	KneeRightY	KneeRightZ	AnkleRightX	AnkleRightY	AnkleRightZ	FootRightX	FootRightY	FootRightZ	Marker1	Marker2	Marker3	Marker4	Marker5	
8337	42907	-0.083894490000	0.524205500000	2.444552000000	-0.106450200000	0.339089800000	2.507249000000	-0.123772700000	-0.013178090000	2.505009000000	-0.125271100000	-0.073232130000	2.448262000000	-0.275988000000	0.237606800000	2.483515000000	-0.357470800000	-0.008578862000	2.474078000000	-0.373360500000	-0.228592900000	2.367637000000	-0.365388600000	-0.302204000000	2.335237000000	0.060166240000	0.217498800000	2.490862000000	0.084990150000	-0.054940420000	2.453901000000	0.124314900000	-0.283058300000	2.420048000000	0.122174200000	-0.367215700000	2.437865000000	-0.204588100000	-0.142466000000	2.430525000000	-0.267955200000	-0.586984600000	2.475563000000	-0.282680300000	-0.953210500000	2.513276000000	-0.282993400000	-0.996571600000	2.417139000000	-0.052129030000	-0.153692500000	2.439153000000	-0.038906870000	-0.603727900000	2.494099000000	-0.034148750000	-0.972371900000	2.540591000000	-0.034461880000	-1.015733000000	2.444454000000	0	0	0	0	0	
8338	42939	-0.083842300000	0.526190800000	2.445264000000	-0.106663200000	0.339991600000	2.506204000000	-0.123820900000	-0.012980670000	2.504555000000	-0.125254300000	-0.073233430000	2.447937000000	-0.276189100000	0.237571400000	2.482846000000	-0.356282200000	-0.000959051300	2.471061000000	-0.369585600000	-0.224027200000	2.361830000000	-0.362093400000	-0.298598300000	2.328080000000	0.060164400000	0.217713600000	2.490617000000	0.089340020000	-0.057962220000	2.466728000000	0.126817900000	-0.284571800000	2.439081000000	0.126923500000	-0.363150800000	2.451774000000	-0.204589700000	-0.142514300000	2.430393000000	-0.268016500000	-0.586998700000	2.475632000000	-0.283005400000	-0.953557600000	2.512963000000	-0.283213500000	-0.996952300000	2.416840000000	-0.052097500000	-0.153658700000	2.438832000000	-0.038849580000	-0.603581800000	2.493826000000	-0.033821060000	-0.972547200000	2.540583000000	-0.034029110000	-1.015942000000	2.444461000000	0	0	0	0	0	
8339	42975	-0.083822120000	0.526976400000	2.445801000000	-0.106170400000	0.340759900000	2.505790000000	-0.123856000000	-0.013012380000	2.504114000000	-0.125289300000	-0.073421830000	2.447482000000	-0.276302400000	0.237474500000	2.482146000000	-0.356112100000	0.002297906000	2.470126000000	-0.367170000000	-0.221916900000	2.357414000000	-0.360549700000	-0.295591800000	2.322341000000	0.060033530000	0.217271600000	2.490305000000	0.096521270000	-0.057342320000	2.484307000000	0.133509300000	-0.289209200000	2.460121000000	0.125508100000	-0.369544000000	2.474083000000	-0.204692800000	-0.142729500000	2.429905000000	-0.268149600000	-0.586442100000	2.475523000000	-0.283024000000	-0.953780900000	2.512900000000	-0.329025000000	-1.024484000000	2.482549000000	-0.052230490000	-0.153784700000	2.438486000000	-0.038957770000	-0.602419700000	2.492192000000	-0.033907400000	-0.972407500000	2.540583000000	-0.033987260000	-1.015814000000	2.444465000000	0	0	0	0	0	
8340	43007	-0.083895000000	0.527595100000	2.446461000000	-0.105665100000	0.341189100000	2.504748000000	-0.123971300000	-0.012775700000	2.503292000000	-0.125179500000	-0.073323790000	2.446807000000	-0.276237700000	0.237238400000	2.480576000000	-0.355244700000	0.000126258200	2.467166000000	-0.363444200000	-0.223149800000	2.355623000000	-0.358195900000	-0.295879600000	2.320209000000	0.061068780000	0.216964900000	2.490795000000	0.106269800000	-0.052486140000	2.502087000000	0.137464700000	-0.285843900000	2.476315000000	0.125468000000	-0.369229900000	2.480632000000	-0.204689700000	-0.142884300000	2.428853000000	-0.268201600000	-0.586358600000	2.475529000000	-0.283211500000	-0.954012500000	2.512924000000	-0.331969500000	-1.022181000000	2.481113000000	-0.052205020000	-0.153799900000	2.438208000000	-0.039067070000	-0.602270700000	2.491971000000	-0.033722490000	-0.972385700000	2.540497000000	-0.033220950000	-1.015839000000	2.444401000000	0	0	0	0	0	
8341	43043	-0.083668340000	0.528890700000	2.447427000000	-0.105148600000	0.341663600000	2.503417000000	-0.124113800000	-0.012643800000	2.502386000000	-0.125175400000	-0.073365270000	2.446039000000	-0.275805900000	0.237333600000	2.479100000000	-0.354431100000	-0.001068347000	2.465869000000	-0.362638600000	-0.222179700000	2.353030000000	-0.357939200000	-0.295012800000	2.317685000000	0.061075310000	0.217012900000	2.490831000000	0.109932700000	-0.052373400000	2.510683000000	0.144154600000	-0.278744000000	2.489409000000	0.124426400000	-0.369977200000	2.483887000000	-0.204747200000	-0.142939000000	2.427967000000	-0.268128200000	-0.585689400000	2.475499000000	-0.283243100000	-0.954064400000	2.512705000000	-0.318699700000	-1.033431000000	2.490791000000	-0.052291050000	-0.153750700000	2.437845000000	-0.039115250000	-0.602487700000	2.491862000000	-0.033801460000	-0.972578300000	2.540438000000	-0.032862400000	-1.016079000000	2.444366000000	0	0	0	0	0	
8342	43075	-0.084067950000	0.529418000000	2.447201000000	-0.104912300000	0.341957300000	2.502839000000	-0.124210800000	-0.012178270000	2.501233000000	-0.125045200000	-0.072837190000	2.444872000000	-0.275647300000	0.237877500000	2.477893000000	-0.354067400000	-0.000887863400	2.464861000000	-0.362465100000	-0.222728500000	2.351732000000	-0.357696500000	-0.295225500000	2.317349000000	0.061313340000	0.217672100000	2.491453000000	0.112582600000	-0.049501860000	2.518407000000	0.145021700000	-0.276834500000	2.495395000000	0.125085200000	-0.368896400000	2.486980000000	-0.204794400000	-0.142392900000	2.426429000000	-0.269216800000	-0.581079600000	2.471913000000	-0.285358000000	-0.952687600000	2.511614000000	-0.283900600000	-0.996197400000	2.415551000000	-0.052164260000	-0.153264400000	2.436934000000	-0.039517370000	-0.602296500000	2.491824000000	-0.035294650000	-0.972206900000	2.541129000000	-0.033837280000	-1.015717000000	2.445066000000	0	0	0	0	0	
8343	43107	-0.083894830000	0.529763600000	2.447505000000	-0.104501200000	0.342507000000	2.501720000000	-0.124282300000	-0.012058000000	2.500428000000	-0.124590600000	-0.072906390000	2.444171000000	-0.274185300000	0.238192900000	2.475053000000	-0.353281500000	-0.002722199000	2.461463000000	-0.362274400000	-0.226354300000	2.351291000000	-0.358164500000	-0.296589000000	2.319079000000	0.061683710000	0.218118800000	2.492230000000	0.112970500000	-0.049462420000	2.520853000000	0.144670300000	-0.276936500000	2.497119000000	0.127754900000	-0.367823300000	2.491281000000	-0.204204900000	-0.142498000000	2.425281000000	-0.269340000000	-0.581304300000	2.471891000000	-0.285766200000	-0.953079300000	2.510682000000	-0.283265100000	-0.996665400000	2.414674000000	-0.051884830000	-0.153221000000	2.436752000000	-0.040567630000	-0.597118900000	2.489406000000	-0.035290040000	-0.972317200000	2.541072000000	-0.032788850000	-1.015903000000	2.445065000000	0	0	0	0	0	
8344	43139	-0.083795350000	0.530943400000	2.448761000000	-0.104308400000	0.342648700000	2.500857000000	-0.124352000000	-0.012049240000	2.499800000000	-0.124037600000	-0.073025610000	2.443636000000	-0.272956800000	0.237745600000	2.472397000000	-0.352064200000	-0.007134988000	2.457050000000	-0.365053400000	-0.229861600000	2.352085000000	-0.358622500000	-0.302577100000	2.325931000000	0.062430390000	0.218227900000	2.493524000000	0.112594300000	-0.050802930000	2.524993000000	0.143883600000	-0.277506800000	2.502609000000	0.129572500000	-0.369172200000	2.493680000000	-0.203276200000	-0.142795200000	2.423919000000	-0.269192600000	-0.582028000000	2.471971000000	-0.285656600000	-0.952984600000	2.510676000000	-0.282043200000	-0.996645300000	2.414737000000	-0.051466450000	-0.153268800000	2.436789000000	-0.040187000000	-0.598209100000	2.489777000000	-0.034514040000	-0.973138800000	2.541074000000	-0.030900630000	-1.016800000000	2.445136000000	0	0	0	0	0	
8345	43171	-0.083696040000	0.531395400000	2.449080000000	-0.104032600000	0.342701600000	2.500478000000	-0.123990400000	-0.012174470000	2.499120000000	-0.123191200000	-0.073200900000	2.442959000000	-0.272154000000	0.237963400000	2.470752000000	-0.351982000000	-0.006797262000	2.455189000000	-0.367571700000	-0.234571200000	2.357131000000	-0.362494800000	-0.308835600000	2.336647000000	0.062797610000	0.218365000000	2.494419000000	0.111438400000	-0.052567710000	2.526120000000	0.142624300000	-0.280897300000	2.503837000000	0.131171300000	-0.371140400000	2.495103000000	-0.202113200000	-0.143024800000	2.422395000000	-0.268645900000	-0.582635000000	2.471467000000	-0.285204100000	-0.952807600000	2.510747000000	-0.280849800000	-0.996500300000	2.414854000000	-0.050707010000	-0.153360400000	2.436739000000	-0.040208580000	-0.598379600000	2.489828000000	-0.035007430000	-0.973170000000	2.541148000000	-0.030653200000	-1.016863000000	2.445254000000	0	0	0	0	0	
8346	43207	-0.083280710000	0.531490000000	2.449681000000	-0.103969700000	0.342502900000	2.500094000000	-0.124027800000	-0.012103490000	2.498385000000	-0.122852500000	-0.073023450000	2.442199000000	-0.271865200000	0.238313600000	2.469766000000	-0.351754300000	-0.009360569000	2.452504000000	-0.370918800000	-0.235842700000	2.363244000000	-0.364933300000	-0.312029200000	2.340580000000	0.063326870000	0.218533900000	2.495628000000	0.110388300000	-0.053037180000	2.525802000000	0.142563100000	-0.282093300000	2.503935000000	0.131744600000	-0.371802300000	2.496614000000	-0.201836400000	-0.142809400000	2.420868000000	-0.268780300000	-0.578998500000	2.466237000000	-0.284847200000	-0.951480100000	2.510314000000	-0.279861100000	-0.995193400000	2.414461000000	-0.050344350000	-0.153265000000	2.436471000000	-0.039955120000	-0.594567500000	2.489841000000	-0.035869840000	-0.971923200000	2.541524000000	-0.030883770000	-1.015637000000	2.445670000000	0	0	0	0	0	
